Gene ID,Gene Name,Cluster 1 Mean UMI Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean UMI Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean UMI Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value
ENSG00000279928,FO538757.3,0.0076312980742472992,-4.295714811510976,1.5584355349306944e-15,0.02508001877683089,-1.7284778842526634,0.0055126472942044879,4.9918735298533603,8.4237287630304838,1.0658329876266073e-24
ENSG00000279457,FO538757.2,0.19421653598959376,-0.43299789137005695,0.23653203466733705,0.24486018332116474,0.25643017249147837,0.55641727934320528,0.89659864371152587,2.077814159416171,0.19962994655105962
ENSG00000228463,AP006222.2,0.0,-1.7513942952871666,0.5470597557982676,0.00066000049412712864,1.8126683841760034,0.55641727934320528,0.0,5.6128848548929993,1.0
ENSG00000237094,RP4-669L17.10,0.00076312980742472992,-1.1664317945660088,0.57162972206560569,0.001980001482381386,1.2277058834548473,0.58465258468710579,0.0,4.0279223541718432,1.0
ENSG00000230021,RP5-857K21.4,0.00038156490371236496,0.24860570471283339,1.0,0.0,-0.1873316158239966,1.0,0.0,5.6128848548929993,1.0
ENSG00000237491,RP11-206L10.9,0.0045787788445483795,-1.2988820905896592,0.076348795384653292,0.011880008894288316,1.3601561794784969,0.074778353217671498,0.0,1.6586885445061235,1.0
ENSG00000177757,FAM87B,0.0,-1.7513942952871666,0.5470597557982676,0.00066000049412712864,1.8126683841760034,0.55641727934320528,0.0,5.6128848548929993,1.0
ENSG00000225880,LINC00115,0.020604504800467709,0.3295257000964007,0.65901359619963507,0.016500012353178217,-0.26825161120756391,0.7628133829459216,0.0,0.29095676000563664,1.0
ENSG00000188976,NOC2L,0.16636229801859112,0.38347055366978333,0.37479470993629638,0.13002009734304434,-0.33276205534555992,0.48850368447457027,0.024232395775987188,-1.6954541752464083,1.0
ENSG00000187961,KLHL17,0.0038156490371236496,-0.99240239479096104,0.35797175116884239,0.0079200059295255441,1.0536764836797978,0.28412491822660907,0.0,2.0893228988359862,1.0
ENSG00000187583,PLEKHN1,0.0022893894222741898,-0.75139429528716573,0.57769810845851055,0.0039600029647627721,0.81266838417600251,0.58917726877798815,0.0,2.9124451367519066,1.0
ENSG00000188290,HES4,0.009157557689096759,-4.6735921436835337,4.0334655414342519e-32,0.24948018678005465,4.7348662325723705,5.6431099957365798e-33,0.0,-2.0417511736349683,1.0
ENSG00000187608,ISG15,0.27396360086547805,-1.4476605743895108,1.1963213832456881e-06,0.76824057516397781,1.508934663278348,4.1977991464819124e-07,0.0,-4.2659324297212287,1.0
ENSG00000224969,RP11-54O7.11,0.0015262596148494598,0.5705337996001969,0.86024745697333438,0.00066000049412712864,-0.50925971071136011,0.87223959980913057,0.0,4.0279223541718432,1.0
ENSG00000188157,AGRN,0.00038156490371236496,-3.0733223901745292,0.0058527588561499925,0.0059400044471441581,3.134596479063366,0.0051146871868768349,0.0,3.1534532362557011,1.0
ENSG00000131591,C1orf159,0.013736336533645139,0.13613097545442088,0.95759935737617075,0.012540009388415445,-0.074856886565584091,1.0,0.0,0.80552993283539465,1.0
ENSG00000272141,RP11-465B22.8,0.00038156490371236496,0.24860570471283339,1.0,0.0,-0.1873316158239966,1.0,0.0,5.6128848548929993,1.0
ENSG00000162571,TTLL10,0.0011446947111370949,1.2486057047128334,0.50429808472538196,0.0,-1.1873316158239966,0.74328362801990422,0.0,4.6128848548929993,1.0
ENSG00000186891,TNFRSF18,0.083944278816720286,6.036508264104266,1.4584849292061046e-19,0.00066000049412712864,-5.9752341752154283,7.0778610735109898e-19,0.0,-1.1815310114571069,1.0
ENSG00000186827,TNFRSF4,0.05570847594200528,3.1263499546618361,2.2226156604931577e-09,0.0059400044471441581,-3.0650758657729993,4.9008437168048691e-09,0.0,-0.67251736396924944,1.0
ENSG00000078808,SDF4,0.42582643254299929,0.7593093310809409,0.02967742046230715,0.25410019023894453,-0.72801679095651761,0.042610563209026571,0.14539437465592311,-1.1324293205636682,1.0
ENSG00000176022,B3GALT6,0.051511262001169268,0.66364320399167731,0.15262948688871178,0.032340024212229306,-0.64150750900979858,0.18378818673203295,0.024232395775987188,0.08150339437668741,1.0
ENSG00000184163,FAM132A,0.0015262596148494598,-0.75139429528716484,0.70875155797430134,0.0026400019765085146,0.8126683841760034,0.72955638888146868,0.0,3.4429598534506871,1.0
ENSG00000260179,RP5-902P8.12,0.0,-1.7513942952871666,0.5470597557982676,0.00066000049412712864,1.8126683841760034,0.55641727934320528,0.0,5.6128848548929993,1.0
ENSG00000160087,UBE2J2,0.19001932204875774,0.35975266863403732,0.41681826506582254,0.14916011167273108,-0.33519771833860856,0.47663423767321383,0.096929583103948752,-0.56702423512193523,1.0
ENSG00000162572,SCNN1D,0.0011446947111370949,-1.3363567960083227,0.35530413718508719,0.0033000024706356435,1.3976308848971604,0.34924971674174898,0.0,3.4429598534506871,1.0
ENSG00000131584,ACAP3,0.035485536045249941,-0.78176794433068419,0.057572093110013357,0.062700046942077231,0.84304203321952276,0.040785749561277632,0.0,-0.94935756932807358,1.0
ENSG00000169972,PUSL1,0.034340841334112845,-0.24359965508846937,0.68630331025264435,0.041580031130009104,0.30487374397730616,0.5914825657145858,0.0,-0.65390168580190267,1.0
ENSG00000127054,CPSF3L,0.16330977878889219,0.12925339755809961,0.83828707315855333,0.15312011463749386,-0.06797930866926194,0.99902031509794531,0.0,-2.7556216066146928,1.0
ENSG00000224051,CPTP,0.057616300460567108,0.79609350001532686,0.072395640189913485,0.032340024212229306,-0.81026196674417328,0.072861374231845216,0.048464791551974376,0.54679566443522676,1.0
ENSG00000169962,TAS1R3,0.00076312980742472992,-0.16643179456600876,1.0,0.00066000049412712864,0.22770588345484732,1.0,0.0,4.6128848548929993,1.0
ENSG00000107404,DVL1,0.004960343748260744,-0.944039373229562,0.24613481634229967,0.009900007411906931,1.0053134621183988,0.24458874168667377,0.0,1.7549038597654265,1.0
ENSG00000162576,MXRA8,0.00038156490371236496,0.24860570471283339,1.0,0.0,-0.1873316158239966,1.0,0.0,5.6128848548929993,1.0
ENSG00000175756,AURKAIP1,0.45024658638059062,-0.48223898489257944,0.16615157192008601,0.64020047930331481,0.5192500113998898,0.13568562910335336,0.21809156198388469,-1.1359788596426994,1.0
ENSG00000221978,CCNL2,0.11523260092113422,-0.10813315400134282,0.84568104049534998,0.12606009437828158,0.14496545244691106,0.77481496306112274,0.048464791551974376,-0.75051987597052205,1.0
ENSG00000242485,MRPL20,0.34340841334112843,-0.31971529194767978,0.40254619185079998,0.43956032908866771,0.37722771210520745,0.30914457867656747,0.024232395775987188,-3.0009046095795813,1.0
ENSG00000235098,ANKRD65,0.00076312980742472992,-0.75139429528716484,0.79486261488820809,0.0013200009882542573,0.8126683841760034,0.79870791077246894,0.0,4.2909567600056358,1.0
ENSG00000225905,RP4-758J18.7,0.0,-1.7513942952871666,0.5470597557982676,0.00066000049412712864,1.8126683841760034,0.55641727934320528,0.0,5.6128848548929993,1.0
ENSG00000215915,ATAD3C,0.0015262596148494598,0.5705337996001969,0.81911987163941613,0.0,-1.7722941165451527,0.33669971852539438,0.024232395775987188,5.2909567600056358,0.55206110610235559
ENSG00000160072,ATAD3B,0.034340841334112845,0.54694697928258051,0.33501363911791954,0.023760017788576632,-0.48567289039374373,0.44203567755903511,0.0,-0.3757998318791671,1.0
ENSG00000197785,ATAD3A,0.041972139408360143,0.55116847473326569,0.28607502018773606,0.029040021741593661,-0.48989438584442713,0.36387355757529688,0.0,-0.66323955038123827,1.0
ENSG00000205090,TMEM240,0.00038156490371236496,-0.75139429528716661,1.0,0.00066000049412712864,0.8126683841760034,1.0,0.0,5.0279223541718432,1.0
ENSG00000160075,SSU72,0.59753063921356353,0.18115675740760984,0.71081975828104349,0.53064039727821144,-0.16293218295919842,0.76146501243554465,0.38771833241579501,-0.51093225133866915,1.0
ENSG00000215014,RP5-832C2.5,0.0076312980742472992,-0.35907687250840503,0.73057818124301799,0.009900007411906931,0.42035096139724271,0.67106572138990328,0.0,1.4429598534506871,1.0
ENSG00000228594,C1orf233,0.0038156490371236496,-2.3794255179002075,9.3995883335541822e-05,0.021780016306195246,2.4406996067890452,7.8861647063144293e-05,0.0,1.153453236255702,1.0
ENSG00000272106,RP11-345P4.9,0.023275459126454262,-0.35178683657792842,0.5705279294599408,0.030360022729847919,0.41306092546676521,0.52971106891055819,0.0,-0.14200264727046985,1.0
ENSG00000197530,MIB2,0.265569172983806,2.3013031278024965,8.5198646957948026e-11,0.052140039036043168,-2.3186741549472578,1.1090658541302096e-10,0.096929583103948752,-0.66509989240676592,1.0
ENSG00000189409,MMP23B,0.077839240357322453,3.6061577093309176,7.0084206130296308e-13,0.0059400044471441581,-3.5448836204420808,3.1013528812417962e-12,0.0,-1.1285821315081481,1.0
ENSG00000248333,CDK11B,0.15338909129237072,-0.21050043280838704,0.62342346847432673,0.18216013637908751,0.27177452169722427,0.54199026753617607,0.0,-2.7943829093517327,1.0
ENSG00000272004,RP11-345P4.10,0.00076312980742472992,0.83356820543399124,0.70875155797430134,0.0,-0.77229411654515268,0.73442542768484387,0.0,5.0279223541718432,1.0
ENSG00000189339,SLC35E2B,0.10340408890605091,0.63562882782208163,0.12129297076848687,0.067320050400967127,-0.59358822956063095,0.16380990375436691,0.024232395775987188,-0.93400960499463759,1.0
ENSG00000269737,RP11-345P4.7,0.00038156490371236496,0.24860570471283339,1.0,0.0,-0.1873316158239966,1.0,0.0,5.6128848548929993,1.0
ENSG00000008128,CDK11A,0.29991001431791886,0.17882755880087498,0.72501913021307041,0.271920203580377,-0.11755346991203774,0.87798833733044612,0.0,-3.6147310885212249,1.0
ENSG00000215790,SLC35E2,0.028235802874715006,1.2294968817651295,0.020793717892058746,0.011880008894288316,-1.1682227928762918,0.032209754675308989,0.0,0.073726043784967388,1.0
ENSG00000008130,NADK,0.062576644208827858,-1.7557594878485676,4.1636234523556092e-08,0.21780016306195246,1.8170335767374057,1.4648588138488144e-08,0.0,-2.3383998600739728,1.0
ENSG00000078369,GNB1,0.13354771629932774,-1.4098092410317933,3.2871626769928359e-06,0.35970026929928511,1.4175854912728043,3.2528060092978715e-06,0.1938591662078975,-0.024545065722292314,1.0
ENSG00000231050,RP1-140A9.1,0.00038156490371236496,-0.75139429528716661,1.0,0.00066000049412712864,0.8126683841760034,1.0,0.0,5.0279223541718432,1.0
ENSG00000178821,TMEM52,0.0011446947111370949,-0.33635679600832269,1.0,0.0013200009882542573,0.39763088489715948,1.0,0.0,4.0279223541718432,1.0
ENSG00000187730,GABRD,0.0,-2.7513942952871666,0.1952960869631557,0.0,-1.1873316158239966,0.80456011415175932,0.072697187327961557,8.6128848548930002,0.008583718147123753
ENSG00000067606,PRKCZ,0.035867100948962304,2.1180215949026895,5.4464856981887119e-05,0.0079200059295255441,-2.0567475060138527,0.00014127569645330505,0.0,-0.12858213150814812,1.0
ENSG00000271806,RP5-892K4.1,0.0,-2.7513942952871666,0.16111808904485597,0.001980001482381386,2.8126683841760034,0.15762586633268694,0.0,4.6128848548929993,1.0
ENSG00000182873,RP11-181G12.2,0.00038156490371236496,0.24860570471283339,1.0,0.0,-0.1873316158239966,1.0,0.0,5.6128848548929993,1.0
ENSG00000162585,FAAP20,0.37507830034925477,-0.13306033656666716,0.76142941519499063,0.41778031278247246,0.16826616712892273,0.72228162458170442,0.1696267704319103,-1.0462191085806622,1.0
ENSG00000157933,SKI,0.027472673067290277,-1.2620094545482403,0.0011466400037025272,0.067980050895094249,1.3232835434370784,0.00074553327758185371,0.0,-0.84654676374429805,1.0
ENSG00000116151,MORN1,0.0076312980742472992,0.64092312749159497,0.5470597557982676,0.004620003458889901,-0.57964903860275729,0.56036896994843788,0.0,1.8055299328353946,1.0
