Gene ID,Gene Name,Cluster 1 Mean UMI Counts,Cluster 1 Log2 fold change,Cluster 1 Adjusted p value,Cluster 2 Mean UMI Counts,Cluster 2 Log2 fold change,Cluster 2 Adjusted p value,Cluster 3 Mean UMI Counts,Cluster 3 Log2 fold change,Cluster 3 Adjusted p value,Cluster 4 Mean UMI Counts,Cluster 4 Log2 fold change,Cluster 4 Adjusted p value
ENSG00000279928,FO538757.3,0.0057297913153841569,-3.9477842103759211,6.294276435064735e-09,0.026218151090705577,-1.6292943786466867,0.011103485998317675,0.0098582112119178205,-2.9484658025496278,0.00018798906665693014,4.9918735298533603,8.4237287630304838,1.0658329876266073e-24
ENSG00000279457,FO538757.2,0.17380366989998608,-0.50483557261337308,0.23056478705621059,0.25597194880662549,0.35561367809745481,0.37281249261256888,0.2115034405466005,-0.069628296624531849,1.0,0.89659864371152587,2.077814159416171,0.19962994655105962
ENSG00000228463,AP006222.2,0.0,-0.26971230526328327,1.0,0.00068995134449225206,1.9118518897819801,0.5420767710240606,0.0,0.45525638350138209,1.0,0.0,5.6128848548929993,1.0
ENSG00000237094,RP4-669L17.10,0.00063664347948712849,-0.59164040015064678,0.87395389647297206,0.002069854033476756,1.326889389060824,0.58061617742776217,0.00089620101926525639,0.13332828861402035,1.0,0.0,4.0279223541718432,1.0
ENSG00000230021,RP5-857K21.4,0.0,-0.26971230526328327,1.0,0.0,-0.088148110218019937,1.0,0.00089620101926525639,2.4552563835013821,0.52752524719320759,0.0,5.6128848548929993,1.0
ENSG00000237491,RP11-206L10.9,0.003819860876922771,-1.1062135729804039,0.23936435460427233,0.012419124200860537,1.4593396850844735,0.048402132144291253,0.0053772061155915379,-0.38124488421573854,0.8326637009178296,0.0,1.6586885445061235,1.0
ENSG00000177757,FAM87B,0.0,-0.26971230526328327,1.0,0.00068995134449225206,1.9118518897819801,0.5420767710240606,0.0,0.45525638350138209,1.0,0.0,5.6128848548929993,1.0
ENSG00000225880,LINC00115,0.0178260174256396,-0.11217102827680314,1.0,0.0172487836123063,-0.16906810560158725,0.88277343167050371,0.023301226500896666,0.45525638350138209,0.59935485185556348,0.0,0.29095676000563664,1.0
ENSG00000188976,NOC2L,0.13433177417178413,-0.26971230526328327,0.612563254948021,0.13730031755395816,-0.21247624522022157,0.72189118195307056,0.19985282729615217,0.5761107783757673,0.17746869774249624,0.024232395775987188,-1.6954541752464083,1.0
ENSG00000187961,KLHL17,0.0044565043564098999,-0.26971230526328416,0.9079220758170552,0.0082794161339070239,1.1528599892857754,0.2729247333344651,0.002688603057795769,-0.86667171138598054,0.58628787821624573,0.0,2.0893228988359862,1.0
